"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","5.1956","5.2011","5.2302","5.1820","130.12K","-0.10%"
"03/02/2023","5.2006","5.1796","5.2288","5.1795","136.09K","0.41%"
"03/01/2023","5.1794","5.2369","5.2369","5.1747","147.80K","-1.09%"
"02/28/2023","5.2367","5.2013","5.2519","5.1788","135.71K","0.69%"
"02/27/2023","5.2008","5.2071","5.2134","5.1706","132.42K","-0.18%"
"02/24/2023","5.2100","5.1378","5.2144","5.1350","116.96K","1.42%"
"02/23/2023","5.1373","5.1527","5.1758","5.1093","143.28K","-0.29%"
"02/22/2023","5.1522","5.1680","5.2133","5.1515","101.70K","-0.30%"
"02/21/2023","5.1675","5.1679","5.1680","5.1655","34.57K","0.00%"
"02/20/2023","5.1674","5.1679","5.1679","5.1679","","0.00%"
"02/17/2023","5.1674","5.2181","5.2538","5.1496","120.78K","-0.97%"
"02/16/2023","5.2178","5.2195","5.2603","5.1961","152.58K","-0.02%"
"02/15/2023","5.2190","5.1927","5.2406","5.1897","148.10K","0.51%"
"02/14/2023","5.1923","5.1600","5.2292","5.1281","171.12K","0.63%"
"02/13/2023","5.1596","5.2156","5.2278","5.1570","118.15K","-1.06%"
"02/10/2023","5.2151","5.2916","5.3092","5.2091","134.76K","-1.44%"
"02/09/2023","5.2911","5.2012","5.2934","5.1721","139.13K","1.74%"
"02/08/2023","5.2007","5.2106","5.2459","5.1659","145.38K","-0.18%"
"02/07/2023","5.2101","5.1481","5.2184","5.1326","146.13K","1.24%"
"02/06/2023","5.1464","5.1525","5.2138","5.1407","116.52K","-0.11%"
"02/03/2023","5.1522","5.0509","5.1589","5.0509","154.47K","2.02%"
"02/02/2023","5.0504","5.0552","5.0557","4.9401","158.68K","-0.09%"
"02/01/2023","5.0547","5.0736","5.1130","5.0426","118.57K","-0.36%"
"01/31/2023","5.0731","5.1167","5.1418","5.0703","122.55K","-0.84%"
"01/30/2023","5.1162","5.1065","5.1339","5.0827","104.00K","0.14%"
"01/27/2023","5.1089","5.0663","5.1174","5.0560","134.27K","0.85%"
"01/26/2023","5.0658","5.0736","5.1200","5.0585","142.73K","-0.15%"
"01/25/2023","5.0734","5.1397","5.1500","5.0679","122.72K","-1.28%"
"01/24/2023","5.1392","5.2080","5.2207","5.1344","102.09K","-1.31%"
"01/23/2023","5.2076","5.2079","5.2207","5.1634","130.45K","0.00%"
"01/20/2023","5.2074","5.1746","5.2400","5.1639","115.59K","0.64%"
"01/19/2023","5.1741","5.1868","5.2562","5.1631","156.95K","-0.24%"
"01/18/2023","5.1863","5.1007","5.1901","5.0655","162.32K","1.69%"
"01/17/2023","5.1003","5.1512","5.1589","5.0957","127.44K","-0.92%"
"01/16/2023","5.1474","5.0957","5.1624","5.0922","92.57K","1.02%"
